timestamp,building,building_type,occupancy,energy_kwh,temperature_f,event
2026-05-20T12:00,Science Library,Study,66,76.98,63.2,normal
2026-05-20T12:00,Student Center,Dining,103,121.88,63.2,normal
2026-05-20T12:00,Mesa Housing,Residence,79,97.93,63.2,normal
2026-05-20T12:00,Arts Annex,Studio,29,46.46,63.2,normal
2026-05-20T12:00,Bio Research,Lab,76,121.96,63.2,normal
2026-05-20T13:00,Engineering Hall,Lab,98,127.74,65.5,normal
2026-05-20T13:00,Science Library,Study,86,91.92,65.5,normal
2026-05-20T13:00,Student Center,Dining,106,122.98,65.5,normal
2026-05-20T13:00,Mesa Housing,Residence,41,79.29,65.5,normal
2026-05-20T13:00,Arts Annex,Studio,40,52.76,65.5,normal
2026-05-20T13:00,Bio Research,Lab,79,127.87,65.5,normal
2026-05-20T14:00,Engineering Hall,Lab,52,105.2,72.0,normal
2026-05-20T14:00,Science Library,Study,80,90.4,72.0,normal
2026-05-20T14:00,Student Center,Dining,57,98.72,72.0,normal
2026-05-20T14:00,Mesa Housing,Residence,53,83.78,72.0,normal
2026-05-20T14:00,Arts Annex,Studio,35,48.81,72.0,normal
2026-05-20T14:00,Bio Research,Lab,86,128.68,72.0,normal
2026-05-20T15:00,Engineering Hall,Lab,72,113.41,74.4,normal
2026-05-20T15:00,Science Library,Study,126,110.74,74.4,normal
2026-05-20T15:00,Student Center,Dining,67,113.69,74.4,normal
2026-05-20T15:00,Mesa Housing,Residence,67,89.15,74.4,normal
2026-05-20T15:00,Arts Annex,Studio,39,52.55,74.4,normal
2026-05-20T15:00,Bio Research,Lab,58,115.2,74.4,normal
2026-05-20T16:00,Engineering Hall,Lab,86,122.53,75.0,normal
2026-05-20T16:00,Science Library,Study,113,102.47,75.0,normal
2026-05-20T16:00,Student Center,Dining,61,111.63,75.0,normal
2026-05-20T16:00,Mesa Housing,Residence,73,95.92,75.0,normal
2026-05-20T16:00,Arts Annex,Studio,42,53.67,75.0,normal
2026-05-20T16:00,Bio Research,Lab,49,120.97,75.0,normal
2026-05-20T17:00,Engineering Hall,Lab,58,117.61,77.7,normal
2026-05-20T17:00,Science Library,Study,64,87.61,77.7,normal
2026-05-20T17:00,Student Center,Dining,85,125.47,77.7,normal
2026-05-20T17:00,Mesa Housing,Residence,41,90.87,77.7,normal
2026-05-20T17:00,Arts Annex,Studio,22,49.66,77.7,normal
2026-05-20T17:00,Bio Research,Lab,55,123.64,77.7,normal
2026-05-20T18:00,Engineering Hall,Lab,36,108.85,77.5,normal
2026-05-20T18:00,Science Library,Study,75,91.81,77.5,normal
2026-05-20T18:00,Student Center,Dining,102,129.37,77.5,normal
2026-05-20T18:00,Mesa Housing,Residence,60,93.47,77.5,normal
2026-05-20T18:00,Arts Annex,Studio,36,54.76,77.5,normal
2026-05-20T18:00,Bio Research,Lab,51,117.33,77.5,normal
2026-05-20T19:00,Engineering Hall,Lab,46,108.64,78.6,normal
2026-05-20T19:00,Science Library,Study,78,95.71,78.6,normal
2026-05-20T19:00,Student Center,Dining,59,109.59,78.6,normal
2026-05-20T19:00,Mesa Housing,Residence,81,107.29,78.6,normal
2026-05-20T19:00,Arts Annex,Studio,16,48.71,78.6,normal
2026-05-20T19:00,Bio Research,Lab,31,116.66,78.6,normal
2026-05-20T20:00,Engineering Hall,Lab,43,109.66,80.1,normal
2026-05-20T20:00,Science Library,Study,64,92.75,80.1,normal
2026-05-20T20:00,Student Center,Dining,74,120.25,80.1,normal
2026-05-20T20:00,Mesa Housing,Residence,84,106.68,80.1,normal
2026-05-20T20:00,Arts Annex,Studio,12,54.97,80.1,normal
2026-05-20T20:00,Bio Research,Lab,26,113.46,80.1,normal
2026-05-20T21:00,Engineering Hall,Lab,21,96.06,79.1,normal
2026-05-20T21:00,Science Library,Study,56,85.76,79.1,normal
2026-05-20T21:00,Student Center,Dining,37,100.76,79.1,normal
2026-05-20T21:00,Mesa Housing,Residence,74,97.34,79.1,normal
2026-05-20T21:00,Arts Annex,Studio,17,50.2,79.1,normal
2026-05-20T21:00,Bio Research,Lab,25,114.38,79.1,normal
2026-05-20T22:00,Engineering Hall,Lab,17,94.82,76.9,normal
2026-05-20T22:00,Science Library,Study,58,78.54,76.9,normal
2026-05-20T22:00,Student Center,Dining,36,98.08,76.9,normal
2026-05-20T22:00,Mesa Housing,Residence,55,93.04,76.9,normal
2026-05-20T22:00,Arts Annex,Studio,14,48.24,76.9,normal
2026-05-20T22:00,Bio Research,Lab,14,98.75,76.9,normal
2026-05-20T23:00,Engineering Hall,Lab,26,97.56,74.5,normal
2026-05-20T23:00,Science Library,Study,73,87.61,74.5,normal
2026-05-20T23:00,Student Center,Dining,18,81.49,74.5,normal
2026-05-20T23:00,Mesa Housing,Residence,58,93.18,74.5,normal
2026-05-20T23:00,Arts Annex,Studio,14,50.0,74.5,normal
2026-05-20T23:00,Bio Research,Lab,24,101.91,74.5,normal
2026-05-21T00:00,Engineering Hall,Lab,10,89.85,69.1,normal
2026-05-21T00:00,Science Library,Study,26,64.71,69.1,normal
2026-05-21T00:00,Student Center,Dining,22,80.96,69.1,normal
2026-05-21T00:00,Mesa Housing,Residence,125,115.35,69.1,normal
2026-05-21T00:00,Arts Annex,Studio,11,45.62,69.1,normal
2026-05-21T00:00,Bio Research,Lab,17,94.2,69.1,normal
2026-05-21T01:00,Engineering Hall,Lab,13,92.72,67.9,normal
2026-05-21T01:00,Science Library,Study,26,69.29,67.9,normal
2026-05-21T01:00,Student Center,Dining,25,83.57,67.9,normal
2026-05-21T01:00,Mesa Housing,Residence,115,104.0,67.9,normal
2026-05-21T01:00,Arts Annex,Studio,11,46.1,67.9,normal
2026-05-21T01:00,Bio Research,Lab,11,99.49,67.9,normal
2026-05-21T02:00,Engineering Hall,Lab,13,91.36,63.7,normal
2026-05-21T02:00,Science Library,Study,18,57.76,63.7,normal
2026-05-21T02:00,Student Center,Dining,16,79.72,63.7,normal
2026-05-21T02:00,Mesa Housing,Residence,120,114.48,63.7,normal
2026-05-21T02:00,Arts Annex,Studio,7,42.47,63.7,normal
2026-05-21T02:00,Bio Research,Lab,13,102.01,63.7,normal
2026-05-21T03:00,Engineering Hall,Lab,22,89.12,61.1,normal
2026-05-21T03:00,Science Library,Study,32,65.25,61.1,normal
2026-05-21T03:00,Student Center,Dining,27,85.02,61.1,normal
2026-05-21T03:00,Mesa Housing,Residence,68,89.99,61.1,normal
2026-05-21T03:00,Arts Annex,Studio,11,41.12,61.1,normal
2026-05-21T03:00,Bio Research,Lab,16,99.1,61.1,normal
2026-05-21T04:00,Engineering Hall,Lab,20,91.3,58.1,normal
2026-05-21T04:00,Science Library,Study,30,64.4,58.1,normal
2026-05-21T04:00,Student Center,Dining,27,89.45,58.1,normal
2026-05-21T04:00,Mesa Housing,Residence,109,110.25,58.1,normal
2026-05-21T04:00,Arts Annex,Studio,12,43.69,58.1,normal
2026-05-21T04:00,Bio Research,Lab,12,100.57,58.1,normal
2026-05-21T05:00,Engineering Hall,Lab,20,98.41,55.9,normal
2026-05-21T05:00,Science Library,Study,34,70.12,55.9,normal
2026-05-21T05:00,Student Center,Dining,18,84.85,55.9,normal
2026-05-21T05:00,Mesa Housing,Residence,86,98.27,55.9,normal
2026-05-21T05:00,Arts Annex,Studio,10,44.69,55.9,normal
2026-05-21T05:00,Bio Research,Lab,28,108.89,55.9,normal
2026-05-21T06:00,Engineering Hall,Lab,32,97.79,57.0,normal
2026-05-21T06:00,Science Library,Study,35,66.91,57.0,normal
2026-05-21T06:00,Student Center,Dining,19,84.96,57.0,normal
2026-05-21T06:00,Mesa Housing,Residence,96,105.04,57.0,normal
2026-05-21T06:00,Arts Annex,Studio,16,46.5,57.0,normal
2026-05-21T06:00,Bio Research,Lab,21,103.18,57.0,normal
2026-05-21T07:00,Engineering Hall,Lab,46,103.07,56.6,normal
2026-05-21T07:00,Science Library,Study,29,69.94,56.6,normal
2026-05-21T07:00,Student Center,Dining,29,89.2,56.6,normal
2026-05-21T07:00,Mesa Housing,Residence,107,110.38,56.6,normal
2026-05-21T07:00,Arts Annex,Studio,24,47.47,56.6,normal
2026-05-21T07:00,Bio Research,Lab,27,101.55,56.6,normal
2026-05-21T08:00,Engineering Hall,Lab,48,112.0,54.4,normal
2026-05-21T08:00,Science Library,Study,34,72.1,54.4,normal
2026-05-21T08:00,Student Center,Dining,39,93.97,54.4,normal
2026-05-21T08:00,Mesa Housing,Residence,95,104.5,54.4,normal
2026-05-21T08:00,Arts Annex,Studio,22,52.27,54.4,normal
2026-05-21T08:00,Bio Research,Lab,28,110.47,54.4,normal
2026-05-21T09:00,Engineering Hall,Lab,42,103.21,57.7,normal
2026-05-21T09:00,Science Library,Study,45,80.02,57.7,normal
2026-05-21T09:00,Student Center,Dining,51,96.67,57.7,normal
2026-05-21T09:00,Mesa Housing,Residence,64,94.52,57.7,normal
2026-05-21T09:00,Arts Annex,Studio,32,55.56,57.7,normal
2026-05-21T09:00,Bio Research,Lab,60,125.05,57.7,normal
2026-05-21T10:00,Engineering Hall,Lab,89,128.56,58.9,normal
2026-05-21T10:00,Science Library,Study,74,88.29,58.9,normal
2026-05-21T10:00,Student Center,Dining,70,113.23,58.9,normal
2026-05-21T10:00,Mesa Housing,Residence,75,98.5,58.9,normal
2026-05-21T10:00,Arts Annex,Studio,45,56.37,58.9,normal
2026-05-21T10:00,Bio Research,Lab,50,112.6,58.9,normal
2026-05-21T11:00,Engineering Hall,Lab,86,122.04,61.6,normal
2026-05-21T11:00,Science Library,Study,83,85.9,61.6,normal
2026-05-21T11:00,Student Center,Dining,61,101.86,61.6,normal
2026-05-21T11:00,Mesa Housing,Residence,56,84.09,61.6,normal
2026-05-21T11:00,Arts Annex,Studio,42,50.45,61.6,normal
2026-05-21T11:00,Bio Research,Lab,53,116.92,61.6,normal
2026-05-21T12:00,Engineering Hall,Lab,51,104.75,64.7,normal
2026-05-21T12:00,Science Library,Study,86,88.23,64.7,normal
2026-05-21T12:00,Student Center,Dining,74,109.41,64.7,normal
2026-05-21T12:00,Mesa Housing,Residence,79,95.17,64.7,normal
2026-05-21T12:00,Arts Annex,Studio,48,59.58,64.7,normal
2026-05-21T12:00,Bio Research,Lab,81,125.81,64.7,normal
2026-05-21T13:00,Engineering Hall,Lab,67,115.48,65.0,normal
2026-05-21T13:00,Science Library,Study,110,102.98,65.0,normal
2026-05-21T13:00,Student Center,Dining,82,116.65,65.0,normal
2026-05-21T13:00,Mesa Housing,Residence,60,88.19,65.0,normal
2026-05-21T13:00,Arts Annex,Studio,34,48.1,65.0,normal
2026-05-21T13:00,Bio Research,Lab,65,115.29,65.0,normal
2026-05-21T14:00,Engineering Hall,Lab,82,118.8,69.5,normal
2026-05-21T14:00,Science Library,Study,69,82.11,69.5,normal
2026-05-21T14:00,Student Center,Dining,51,100.02,69.5,normal
2026-05-21T14:00,Mesa Housing,Residence,36,77.03,69.5,normal
2026-05-21T14:00,Arts Annex,Studio,43,49.46,69.5,normal
2026-05-21T14:00,Bio Research,Lab,73,119.86,69.5,normal
2026-05-21T15:00,Engineering Hall,Lab,47,103.58,72.8,normal
2026-05-21T15:00,Science Library,Study,74,83.59,72.8,normal
2026-05-21T15:00,Student Center,Dining,60,102.98,72.8,normal
2026-05-21T15:00,Mesa Housing,Residence,64,92.92,72.8,normal
2026-05-21T15:00,Arts Annex,Studio,32,46.92,72.8,normal
2026-05-21T15:00,Bio Research,Lab,41,110.8,72.8,normal
2026-05-21T16:00,Engineering Hall,Lab,57,115.94,77.5,normal
2026-05-21T16:00,Science Library,Study,112,106.78,77.5,normal
2026-05-21T16:00,Student Center,Dining,77,122.22,77.5,normal
2026-05-21T16:00,Mesa Housing,Residence,42,81.6,77.5,normal
2026-05-21T16:00,Arts Annex,Studio,27,50.65,77.5,normal
2026-05-21T16:00,Bio Research,Lab,65,126.67,77.5,normal
2026-05-21T17:00,Engineering Hall,Lab,65,119.4,76.3,normal
2026-05-21T17:00,Science Library,Study,71,88.98,76.3,normal
2026-05-21T17:00,Student Center,Dining,100,123.94,76.3,normal
2026-05-21T17:00,Mesa Housing,Residence,67,99.14,76.3,normal
2026-05-21T17:00,Arts Annex,Studio,23,46.84,76.3,normal
2026-05-21T17:00,Bio Research,Lab,44,117.25,76.3,normal
2026-05-21T18:00,Engineering Hall,Lab,45,114.36,80.4,normal
2026-05-21T18:00,Science Library,Study,64,91.66,80.4,normal
2026-05-21T18:00,Student Center,Dining,102,129.38,80.4,normal
2026-05-21T18:00,Mesa Housing,Residence,68,102.95,80.4,normal
2026-05-21T18:00,Arts Annex,Studio,30,54.92,80.4,normal
2026-05-21T18:00,Bio Research,Lab,60,129.9,80.4,normal
2026-05-21T19:00,Engineering Hall,Lab,39,105.96,78.4,normal
2026-05-21T19:00,Science Library,Study,90,96.08,78.4,normal
2026-05-21T19:00,Student Center,Dining,107,136.82,78.4,normal
2026-05-21T19:00,Mesa Housing,Residence,43,92.37,78.4,normal
2026-05-21T19:00,Arts Annex,Studio,25,57.93,78.4,normal
2026-05-21T19:00,Bio Research,Lab,43,116.73,78.4,normal
2026-05-21T20:00,Engineering Hall,Lab,45,108.93,79.5,normal
2026-05-21T20:00,Science Library,Study,103,104.37,79.5,normal
2026-05-21T20:00,Student Center,Dining,64,112.88,79.5,normal
2026-05-21T20:00,Mesa Housing,Residence,72,97.65,79.5,normal
2026-05-21T20:00,Arts Annex,Studio,24,58.84,79.5,normal
2026-05-21T20:00,Bio Research,Lab,22,113.24,79.5,normal
2026-05-21T21:00,Engineering Hall,Lab,27,100.68,76.4,normal
2026-05-21T21:00,Science Library,Study,71,83.31,76.4,normal
2026-05-21T21:00,Student Center,Dining,55,102.4,76.4,normal
2026-05-21T21:00,Mesa Housing,Residence,51,91.54,76.4,normal
2026-05-21T21:00,Arts Annex,Studio,14,52.21,76.4,normal
2026-05-21T21:00,Bio Research,Lab,29,106.78,76.4,normal
2026-05-21T22:00,Engineering Hall,Lab,31,94.12,73.5,normal
2026-05-21T22:00,Science Library,Study,80,88.3,73.5,normal
2026-05-21T22:00,Student Center,Dining,36,94.94,73.5,normal
2026-05-21T22:00,Mesa Housing,Residence,73,93.65,73.5,normal
2026-05-21T22:00,Arts Annex,Studio,16,41.95,73.5,normal
2026-05-21T22:00,Bio Research,Lab,17,102.55,73.5,normal
2026-05-21T23:00,Engineering Hall,Lab,22,92.48,72.2,normal
2026-05-21T23:00,Science Library,Study,60,78.43,72.2,normal
2026-05-21T23:00,Student Center,Dining,28,85.94,72.2,normal
2026-05-21T23:00,Mesa Housing,Residence,77,91.53,72.2,normal
2026-05-21T23:00,Arts Annex,Studio,9,38.24,72.2,normal
2026-05-21T23:00,Bio Research,Lab,14,94.08,72.2,normal
2026-05-22T00:00,Engineering Hall,Lab,17,87.08,70.2,normal
2026-05-22T00:00,Science Library,Study,17,61.98,70.2,normal
2026-05-22T00:00,Student Center,Dining,24,90.17,70.2,normal
2026-05-22T00:00,Mesa Housing,Residence,98,99.33,70.2,normal
2026-05-22T00:00,Arts Annex,Studio,6,37.63,70.2,normal
2026-05-22T00:00,Bio Research,Lab,10,92.68,70.2,normal
2026-05-22T01:00,Engineering Hall,Lab,15,87.06,65.1,normal
2026-05-22T01:00,Science Library,Study,29,67.36,65.1,normal
2026-05-22T01:00,Student Center,Dining,23,81.17,65.1,normal
2026-05-22T01:00,Mesa Housing,Residence,121,110.1,65.1,normal
2026-05-22T01:00,Arts Annex,Studio,11,43.25,65.1,normal
2026-05-22T01:00,Bio Research,Lab,13,96.6,65.1,normal
2026-05-22T02:00,Engineering Hall,Lab,10,91.45,62.6,normal
2026-05-22T02:00,Science Library,Study,22,67.31,62.6,normal
2026-05-22T02:00,Student Center,Dining,19,78.66,62.6,normal
2026-05-22T02:00,Mesa Housing,Residence,104,99.31,62.6,normal
2026-05-22T02:00,Arts Annex,Studio,7,41.68,62.6,normal
2026-05-22T02:00,Bio Research,Lab,12,101.7,62.6,normal
2026-05-22T03:00,Engineering Hall,Lab,20,94.04,59.5,normal
2026-05-22T03:00,Science Library,Study,28,65.08,59.5,normal
2026-05-22T03:00,Student Center,Dining,21,84.81,59.5,normal
2026-05-22T03:00,Mesa Housing,Residence,91,103.85,59.5,normal
2026-05-22T03:00,Arts Annex,Studio,13,42.69,59.5,normal
2026-05-22T03:00,Bio Research,Lab,17,101.44,59.5,normal
2026-05-22T04:00,Engineering Hall,Lab,25,92.33,59.5,normal
2026-05-22T04:00,Science Library,Study,20,66.3,59.5,normal
2026-05-22T04:00,Student Center,Dining,15,79.07,59.5,normal
2026-05-22T04:00,Mesa Housing,Residence,65,85.46,59.5,normal
2026-05-22T04:00,Arts Annex,Studio,10,44.47,59.5,normal
2026-05-22T04:00,Bio Research,Lab,15,96.78,59.5,normal
2026-05-22T05:00,Engineering Hall,Lab,27,96.82,57.4,normal
2026-05-22T05:00,Science Library,Study,33,75.13,57.4,normal
2026-05-22T05:00,Student Center,Dining,25,89.66,57.4,normal
2026-05-22T05:00,Mesa Housing,Residence,103,110.24,57.4,normal
2026-05-22T05:00,Arts Annex,Studio,12,45.83,57.4,normal
2026-05-22T05:00,Bio Research,Lab,23,108.18,57.4,normal
2026-05-22T06:00,Engineering Hall,Lab,20,91.15,56.7,normal
2026-05-22T06:00,Science Library,Study,29,72.22,56.7,normal
2026-05-22T06:00,Student Center,Dining,24,86.2,56.7,normal
2026-05-22T06:00,Mesa Housing,Residence,66,94.21,56.7,normal
2026-05-22T06:00,Arts Annex,Studio,19,52.76,56.7,normal
2026-05-22T06:00,Bio Research,Lab,27,106.18,56.7,normal
2026-05-22T07:00,Engineering Hall,Lab,26,98.41,53.3,normal
2026-05-22T07:00,Science Library,Study,36,71.83,53.3,normal
2026-05-22T07:00,Student Center,Dining,19,92.32,53.3,normal
2026-05-22T07:00,Mesa Housing,Residence,109,111.18,53.3,normal
2026-05-22T07:00,Arts Annex,Studio,29,58.85,53.3,normal
2026-05-22T07:00,Bio Research,Lab,39,111.07,53.3,normal
2026-05-22T08:00,Engineering Hall,Lab,57,112.74,53.6,normal
2026-05-22T08:00,Science Library,Study,54,85.38,53.6,normal
2026-05-22T08:00,Student Center,Dining,27,92.38,53.6,normal
2026-05-22T08:00,Mesa Housing,Residence,91,103.42,53.6,normal
2026-05-22T08:00,Arts Annex,Studio,19,48.55,53.6,normal
2026-05-22T08:00,Bio Research,Lab,39,114.94,53.6,normal
2026-05-22T09:00,Engineering Hall,Lab,52,110.24,58.0,normal
2026-05-22T09:00,Science Library,Study,50,81.65,58.0,normal
2026-05-22T09:00,Student Center,Dining,62,106.93,58.0,normal
2026-05-22T09:00,Mesa Housing,Residence,76,93.52,58.0,normal
2026-05-22T09:00,Arts Annex,Studio,29,55.96,58.0,normal
2026-05-22T09:00,Bio Research,Lab,50,115.74,58.0,normal
2026-05-22T10:00,Engineering Hall,Lab,75,117.85,60.5,normal
2026-05-22T10:00,Science Library,Study,64,78.2,60.5,normal
2026-05-22T10:00,Student Center,Dining,63,108.16,60.5,normal
2026-05-22T10:00,Mesa Housing,Residence,79,97.77,60.5,normal
2026-05-22T10:00,Arts Annex,Studio,30,50.78,60.5,normal
2026-05-22T10:00,Bio Research,Lab,79,126.36,60.5,normal
2026-05-22T11:00,Engineering Hall,Lab,53,111.43,61.8,normal
2026-05-22T11:00,Science Library,Study,82,85.02,61.8,normal
2026-05-22T11:00,Student Center,Dining,66,106.86,61.8,normal
2026-05-22T11:00,Mesa Housing,Residence,69,86.6,61.8,normal
2026-05-22T11:00,Arts Annex,Studio,55,62.81,61.8,normal
2026-05-22T11:00,Bio Research,Lab,64,115.85,61.8,normal
2026-05-22T12:00,Engineering Hall,Lab,75,118.75,65.2,normal
2026-05-22T12:00,Science Library,Study,84,86.03,65.2,normal
2026-05-22T12:00,Student Center,Dining,116,135.84,65.2,normal
2026-05-22T12:00,Mesa Housing,Residence,50,83.89,65.2,normal
2026-05-22T12:00,Arts Annex,Studio,39,56.95,65.2,normal
2026-05-22T12:00,Bio Research,Lab,68,125.1,65.2,normal
2026-05-22T13:00,Engineering Hall,Lab,63,114.03,68.5,normal
2026-05-22T13:00,Science Library,Study,82,91.86,68.5,normal
2026-05-22T13:00,Student Center,Dining,87,119.86,68.5,normal
2026-05-22T13:00,Mesa Housing,Residence,49,80.99,68.5,normal
2026-05-22T13:00,Arts Annex,Studio,45,59.91,68.5,normal
2026-05-22T13:00,Bio Research,Lab,67,117.36,68.5,normal
2026-05-22T14:00,Engineering Hall,Lab,65,112.56,70.3,normal
2026-05-22T14:00,Science Library,Study,94,91.75,70.3,normal
2026-05-22T14:00,Student Center,Dining,61,100.64,70.3,normal
2026-05-22T14:00,Mesa Housing,Residence,63,89.01,70.3,normal
2026-05-22T14:00,Arts Annex,Studio,33,53.29,70.3,normal
2026-05-22T14:00,Bio Research,Lab,45,113.68,70.3,normal
2026-05-22T15:00,Engineering Hall,Lab,84,121.53,73.8,normal
2026-05-22T15:00,Science Library,Study,104,101.31,73.8,normal
2026-05-22T15:00,Student Center,Dining,68,109.18,73.8,normal
2026-05-22T15:00,Mesa Housing,Residence,36,80.12,73.8,normal
2026-05-22T15:00,Arts Annex,Studio,42,59.52,73.8,normal
2026-05-22T15:00,Bio Research,Lab,79,127.54,73.8,normal
2026-05-22T16:00,Engineering Hall,Lab,62,116.85,75.6,normal
2026-05-22T16:00,Science Library,Study,87,94.96,75.6,normal
2026-05-22T16:00,Student Center,Dining,49,101.45,75.6,normal
2026-05-22T16:00,Mesa Housing,Residence,72,94.02,75.6,normal
2026-05-22T16:00,Arts Annex,Studio,41,58.9,75.6,normal
2026-05-22T16:00,Bio Research,Lab,72,130.54,75.6,normal
2026-05-22T17:00,Engineering Hall,Lab,52,111.81,78.8,normal
2026-05-22T17:00,Science Library,Study,108,107.77,78.8,normal
2026-05-22T17:00,Student Center,Dining,108,129.94,78.8,normal
2026-05-22T17:00,Mesa Housing,Residence,38,87.67,78.8,normal
2026-05-22T17:00,Arts Annex,Studio,42,66.31,78.8,normal
2026-05-22T17:00,Bio Research,Lab,60,124.66,78.8,normal
2026-05-22T18:00,Engineering Hall,Lab,54,116.25,77.0,normal
2026-05-22T18:00,Science Library,Study,88,97.28,77.0,normal
2026-05-22T18:00,Student Center,Dining,121,134.46,77.0,normal
2026-05-22T18:00,Mesa Housing,Residence,69,93.97,77.0,normal
2026-05-22T18:00,Arts Annex,Studio,25,49.56,77.0,normal
2026-05-22T18:00,Bio Research,Lab,45,117.37,77.0,normal
2026-05-22T19:00,Engineering Hall,Lab,31,101.36,80.2,normal
2026-05-22T19:00,Science Library,Study,113,109.8,80.2,normal
2026-05-22T19:00,Student Center,Dining,69,120.84,80.2,normal
